Year,Town,AGIClss,Return,Exempt,MarJnt,Single,MarSep,HdHous,AGI,FedTI,VTI,NetVTax
2005,Jericho ID,25000 - 29999,10,19.0,3.0,6.0,0.0,1.0,278174.0,125184.0,124117.0,4466.0
2005,Jericho ID,30000 - 34999,11,22.0,4.0,6.0,1.0,0.0,359084.0,178876.0,176951.0,6326.0
2005,Jericho ID,35000 - 39999,18,42.0,9.0,5.0,1.0,3.0,686636.0,354414.0,353741.0,12568.0
2005,Jericho ID,40000 - 44999,10,25.0,5.0,3.0,0.0,2.0,428902.0,248896.0,247563.0,9096.0
2005,Jericho ID,45000 - 49999,13,37.0,12.0,0.0,0.0,1.0,620333.0,337115.0,336607.0,11712.7762
2005,Jericho ID,50000 - 59999,34,97.0,22.0,5.0,0.0,7.0,1902750.0,1122668.0,1116860.0,41885.0
2005,Jericho ID,60000 - 74999,50,158.0,44.0,3.0,0.0,3.0,3376480.0,2147349.0,2128588.0,76376.08720000001
2005,Jericho ID,75000 - 99999,82,240.0,74.0,6.0,0.0,2.0,7081335.0,5023029.0,4976296.0,217385.0315
2005,Jericho ID,100000 - 149999,76,241.0,73.0,3.0,0.0,0.0,9341272.0,7006605.0,6874876.0,349768.7735
2005,Jericho ID,150000 +,37,126.0,36.0,0.0,0.0,1.0,8473523.0,6908452.0,6613949.0,412342.8493
2005,Mt. Holly,Loss or None,11,23.0,5.0,4.0,0.0,2.0,-260262.0,0.0,0.0,1.0
2005,Mt. Holly,0.01 - 4999,69,39.0,3.0,63.0,2.0,1.0,184206.0,-126.0,468.0,16.0
2005,Mt. Holly,5000 - 9999,49,52.0,8.0,36.0,1.0,4.0,348197.0,33859.0,35722.0,1239.4402
2005,Mt. Holly,10000 - 14999,51,85.0,11.0,31.0,2.0,7.0,652212.0,148251.0,140349.0,4834.0
2005,Mt. Holly,15000 - 19999,49,82.0,14.0,28.0,1.0,6.0,839422.0,275730.0,274933.0,9896.0
2005,Mt. Holly,20000 - 24999,48,79.0,18.0,23.0,3.0,4.0,1074690.0,436070.0,431839.0,15693.0
2005,Mt. Holly,25000 - 29999,41,84.0,19.0,15.0,0.0,7.0,1126074.0,502108.0,485613.0,17147.0
2005,Mt. Holly,30000 - 34999,31,69.0,16.0,12.0,0.0,3.0,1006086.0,498395.0,497837.0,18044.0
2005,Mt. Holly,35000 - 39999,30,59.0,14.0,15.0,0.0,1.0,1119808.0,641676.0,620191.0,21872.5851
2005,Mt. Holly,40000 - 44999,32,81.0,21.0,7.0,1.0,3.0,1351729.0,730710.0,729589.0,24724.7497
2005,Mt. Holly,45000 - 49999,23,60.0,14.0,8.0,0.0,1.0,1095812.0,667758.0,642414.0,25016.6344
2005,Mt. Holly,50000 - 59999,52,110.0,36.0,14.0,1.0,1.0,2862962.0,1866231.0,1859758.0,72453.9648
2005,Mt. Holly,60000 - 74999,59,150.0,47.0,6.0,2.0,4.0,3948344.0,2748995.0,2705036.0,100812.2603
2005,Mt. Holly,75000 - 99999,57,143.0,53.0,4.0,0.0,0.0,4835690.0,3490098.0,3456353.0,148101.3838
2005,Mt. Holly,100000 - 149999,23,59.0,20.0,3.0,0.0,0.0,2701955.0,2084776.0,2034228.0,107624.0478
2005,Mt. Holly,150000 +,19,43.0,15.0,3.0,0.0,1.0,4530577.0,3677370.0,3378900.0,195022.796
2005,Mt. Tabor,0.01 - 9999,9,10.0,3.0,6.0,0.0,0.0,47027.0,4261.0,2289.0,83.0
2005,Mt. Tabor,10000 - 19999,14,21.0,2.0,10.0,0.0,2.0,187596.0,45431.0,45431.0,1633.0
2005,Mt. Tabor,20000 - 29999,16,28.0,7.0,6.0,0.0,3.0,398141.0,163195.0,163195.0,5871.0
2005,Mt. Tabor,30000 - 39999,9,21.0,4.0,3.0,0.0,2.0,326448.0,173927.0,173932.0,6263.0
2005,Mt. Tabor,40000 - 49999,6,16.0,3.0,3.0,0.0,0.0,288412.0,179843.0,179843.0,7260.0
2005,Mt. Tabor,50000 - 74999,20,55.0,16.0,4.0,0.0,0.0,1248459.0,867450.0,867237.0,34140.0
2005,Mt. Tabor,75000 +,6,15.0,5.0,1.0,0.0,0.0,650132.0,486723.0,470828.0,22066.0
